p = 0.1,p = 0.3,p = 0.6,p = 0.9
0.00971591,0.00971592,0.031213474,0.009740481
0.00971591,0.00971591,0.009724487,0.009904643
0.010301692,0.00971591,0.039472476,0.010879694
0.00971591,0.009715912,0.014127101,0.013198058
0.009715912,0.009715916,0.016956865,0.010169487
0.00971591,0.009715912,0.009731467,0.040198317
0.018067218,0.00971591,0.00971594,0.02659224
0.00971591,0.00971591,0.038142632,0.010470025
0.00971591,0.010621323,0.014909481,0.016598508
0.00971591,0.00971591,0.009717995,0.037249722
